Unnamed: 0,ticker,date,c_x,change,v,change3,change4,change5,change6,change7,change8,change9,change10,change11,change12,change13,change14,h_y,v_y,oneminvol_y,stddev,count,day_ratio_15,lo_breakout,Predictions_change3
838,SABR,2021-05-06,12.4,0.0,12048255,0,3.467742,2.5,7.5,6.774194,9.919354,4.596774,6.774194,7.419355,7.66129,10.564516,9.112904,0,0,6,4969.504,57410,5,25.0,0.3492067
838,NAK,2021-05-06,0.56,1.7241379,5144393,0,-5.357143,-5.357143,-3.5714285,3.5714285,8.928572,5.357143,5.357143,1.7857143,0.0,0.0,0.0,0,0,0,2411.2515,11244,4,3.0,0.34889358
838,WYNN,2021-05-06,122.78,-0.45379862,2885229,0,2.0687408,2.0361621,3.616224,2.3782375,4.658739,2.9402182,3.7628279,5.074116,6.173644,7.704838,8.160938,0,1,0,577.57635,47135,4,20.0,0.34875125
838,SLCA,2021-05-06,11.08,1.5151515,1233381,0,8.935018,3.068592,6.137184,6.8592057,9.927798,6.8592057,2.6173284,5.1444044,3.9711192,5.6859207,7.400722,3,0,0,1731.563,9900,7,39.0,0.3483342
838,GCI,2021-05-06,4.5,1.3483146,1706405,0,5.111111,13.333333,16.0,22.0,18.666666,16.88889,16.666666,16.88889,14.222222,13.111111,12.0,0,6,0,1710.5166,8613,6,8.0,0.34823024
838,OXY,2021-05-06,26.65,0.55452865,14552259,0,-0.67542213,-5.290807,-4.6904316,-0.9005628,0.67542213,-3.902439,-5.365854,-3.7148218,-4.1275797,-3.9399624,-4.5403376,0,0,0,9680.43,73593,4,23.0,0.34734857
838,STMP,2021-05-06,192.66,1.7764773,351801,0,-10.427696,-11.772034,-8.242499,-6.9085436,-4.0226307,-6.394685,-3.6333437,-1.9516246,-1.733624,-2.3824353,-1.9516246,0,6,0,349.6762,8991,7,7.0,0.34731603
838,NVAX,2021-05-06,172.52,2.9928963,6212657,0,-18.931139,-22.652447,-20.959888,-18.461628,-12.143519,-15.117088,-14.241827,-13.227452,-12.363784,-13.204267,-11.96383,0,0,0,644.7243,82525,2,36.0,0.34724635
362,CAN,2021-05-06,11.61,-0.330033,5470304,0,-8.699397,-15.159346,-15.417744,-15.331611,-12.230836,-22.222221,-21.360895,-21.79156,-32.385876,-31.696814,-23.42808,0,0,1,870.6674,33392,26,23.0,0.3451619
838,APPS,2021-05-06,61.23,-1.8189884,5745707,0,1.682182,-0.1796505,-2.0578148,-2.9070716,2.1884696,0.09799118,3.7399967,5.177201,5.96113,6.091785,7.528989,0,29,1,851.673,70283,3,48.0,0.3433842
799,CRON,2021-05-06,7.62,-0.63371354,2838190,0,-1.7060367,-3.0183728,-3.0183728,-2.230971,0.1312336,-1.0498688,0.2624672,-1.312336,-2.3622048,1.0498688,2.887139,0,11,11,614.71936,17511,4,11.0,0.34336558
838,AAL,2021-05-06,21.49,0.8344923,25632584,0,0.93066543,-0.3257329,4.606794,8.887855,11.400652,8.282923,7.864123,7.212657,7.2591906,12.470917,11.447185,0,0,2,4014.8716,105864,5,14.0,0.34309983
655,FTCH,2021-05-06,44.77,-0.80730826,7688176,0,-8.644181,-11.145857,-3.4844763,-5.31606,-7.5496984,-9.738665,-10.542774,-8.621845,-6.477552,-5.450078,-5.3607326,0,10,2,2695.8472,58843,60,5.0,0.34030336
838,AMRS,2021-05-06,11.41,2.4981632,8198441,0,0.78878176,0.35056967,2.716915,10.254163,14.373357,13.058721,19.982471,24.890448,19.807186,19.456617,30.06135,0,18,2,1090.5328,51519,5,16.0,0.33995903
838,GOGO,2021-05-06,10.68,11.7408905,2192580,0,8.146068,10.486892,15.074906,15.262173,17.134832,13.951311,15.168539,16.4794,14.419476,15.262173,19.569288,4,12,0,956.064,20190,3,20.0,0.33920872
618,IDEX,2021-05-06,2.66,1.0989012,13417742,0,-1.8796992,-2.255639,-5.6390977,8.270677,13.533834,6.3909774,6.0150375,5.6390977,5.6390977,6.766917,12.781955,0,0,1,2091.7302,35379,9,10.0,0.3380437
838,PLUG,2021-05-06,22.56,-2.799506,45365255,0,4.565603,4.6542554,13.120567,12.898936,23.182625,22.606382,26.906029,25.531916,23.980497,25.088652,32.491135,0,7,1,3923.2148,253646,20,11.0,0.33719683
838,FNKO,2021-05-06,21.22,2.5749063,997860,0,10.179076,17.766258,16.493874,23.32705,27.521206,17.624882,17.483505,19.745523,18.426014,17.247879,25.35344,2,8,0,531.3248,10275,9,22.0,0.33709955
493,FSLY,2021-05-06,42.31,-16.465725,32676127,0,7.5159535,2.3398724,1.1344836,3.3089104,5.2469864,2.6471283,4.5379343,7.303238,9.950366,9.784921,14.228314,0,103,30,1979.4182,250175,5,20.0,0.33690706
185,RKT,2021-05-06,19.01,-13.157895,37515328,0,-7.9431877,-10.152552,-8.627038,-6.6280904,-5.94424,-9.100473,-9.363493,-8.78485,-10.205155,-9.889532,-7.5223565,0,26,26,2039.2347,193375,10,36.0,0.3364342
807,VXRT,2021-05-06,6.93,-2.1680217,23003176,0,1.010101,-2.5974026,-1.7316017,-4.4733043,0.86580086,-1.8759018,6.782107,1.8759018,-1.8759018,-6.926407,-5.6277056,0,0,1,2278.816,80355,10,28.0,0.33618617
838,DS,2021-05-06,3.4,0.591716,2062043,0,-22.352942,-22.647058,-21.17647,-20.882353,-18.235294,-19.705883,-17.352942,-13.235294,-12.6470585,-14.411765,-10.294118,0,6,0,1101.827,7929,40,4.0,0.33555
